timestamp,temp,emg_raw,emg_env,emg_state,ax,ay,az,hr
2026-04-05 16:35:15.105946,25.94,47.0,4.0,0.0,17072.0,-660.0,-1868.0,83
2026-04-05 16:35:16.141133,25.94,45.0,3.0,0.0,17008.0,-680.0,-1704.0,84
2026-04-05 16:35:17.177724,25.94,42.0,2.0,0.0,17144.0,-616.0,-1892.0,84
2026-04-05 16:35:18.213111,25.94,45.0,2.0,0.0,17112.0,-664.0,-2016.0,84
2026-04-05 16:35:19.248445,25.94,44.0,2.0,0.0,16980.0,-688.0,-1844.0,84
2026-04-05 16:35:20.285088,25.94,44.0,2.0,0.0,16972.0,-664.0,-1816.0,81
2026-04-05 16:35:21.320759,25.94,42.0,2.0,0.0,17064.0,-776.0,-1724.0,81
2026-04-05 16:35:22.357424,25.94,45.0,1.0,0.0,17140.0,-636.0,-2044.0,81
2026-04-05 16:35:23.392726,25.94,52.0,2.0,0.0,16992.0,-772.0,-1900.0,81
2026-04-05 16:35:24.428071,25.94,47.0,2.0,0.0,17000.0,-664.0,-2016.0,81
2026-04-05 16:35:25.463448,25.94,47.0,2.0,0.0,16956.0,-596.0,-1808.0,81
2026-04-05 16:35:26.500093,25.94,52.0,3.0,0.0,17056.0,-668.0,-1744.0,82
2026-04-05 16:35:27.535438,25.94,48.0,3.0,0.0,16896.0,-592.0,-2076.0,83
2026-04-05 16:35:28.572035,25.94,42.0,3.0,0.0,17108.0,-564.0,-1888.0,84
2026-04-05 16:35:29.608028,25.94,47.0,4.0,0.0,16984.0,-732.0,-1872.0,85
2026-04-05 16:35:30.642700,25.94,42.0,4.0,0.0,17044.0,-588.0,-1792.0,86
2026-04-05 16:35:31.679302,25.94,50.0,4.0,0.0,17072.0,-680.0,-1768.0,86
2026-04-05 16:35:32.714659,25.94,57.0,5.0,0.0,17104.0,-696.0,-1904.0,85
2026-04-05 16:35:33.750109,25.94,48.0,5.0,0.0,17100.0,-660.0,-1660.0,86
2026-04-05 16:35:34.786871,25.94,48.0,5.0,0.0,16908.0,-708.0,-1948.0,87
2026-04-05 16:35:35.822085,25.94,47.0,5.0,0.0,17020.0,-616.0,-1640.0,88
2026-04-05 16:35:36.858700,25.94,43.0,4.0,0.0,17004.0,-696.0,-1916.0,89
2026-04-05 16:45:37.562334,25.94,50.0,1.0,0.0,16992.0,-688.0,-1724.0,
2026-04-05 16:45:37.575341,25.94,49.0,1.0,0.0,17032.0,-676.0,-1896.0,
2026-04-05 16:45:37.588112,25.94,43.0,1.0,0.0,16976.0,-628.0,-1916.0,
2026-04-05 16:45:37.600862,25.94,44.0,1.0,0.0,17016.0,-744.0,-1972.0,
2026-04-05 16:45:37.613864,25.94,54.0,2.0,0.0,17028.0,-712.0,-1976.0,
2026-04-05 16:45:37.626724,25.94,42.0,3.0,0.0,17032.0,-712.0,-1788.0,
2026-04-05 16:45:37.639526,25.94,49.0,3.0,0.0,17012.0,-556.0,-1920.0,
2026-04-05 16:45:37.652270,25.94,49.0,4.0,0.0,16956.0,-796.0,-1952.0,
2026-04-05 16:45:37.665078,25.94,65.0,6.0,0.0,17028.0,-644.0,-1720.0,
2026-04-05 16:45:37.677909,26.0,58.0,7.0,0.0,17016.0,-776.0,-1860.0,
2026-04-05 16:45:37.690702,25.94,49.0,7.0,0.0,16980.0,-808.0,-1876.0,
2026-04-05 16:45:37.703468,25.94,47.0,7.0,0.0,17048.0,-740.0,-1944.0,
2026-04-05 16:45:37.716218,25.94,46.0,7.0,0.0,16972.0,-780.0,-1932.0,
2026-04-05 16:45:37.729015,25.94,44.0,7.0,0.0,17120.0,-804.0,-1892.0,
2026-04-05 16:45:37.741830,25.94,46.0,6.0,0.0,16876.0,-632.0,-1960.0,
2026-04-05 16:45:37.754638,25.94,48.0,7.0,0.0,16960.0,-764.0,-1892.0,
2026-04-05 16:45:37.767437,25.94,46.0,6.0,0.0,16980.0,-708.0,-1756.0,
2026-04-05 16:45:37.780189,25.94,45.0,6.0,0.0,17032.0,-612.0,-1868.0,
2026-04-05 16:45:37.792983,25.94,52.0,5.0,0.0,17008.0,-652.0,-1892.0,
2026-04-05 16:45:37.805803,26.0,45.0,3.0,0.0,17072.0,-672.0,-1804.0,
2026-04-05 16:45:37.818601,25.94,43.0,3.0,0.0,17028.0,-764.0,-2020.0,
2026-04-05 16:45:37.831389,25.94,48.0,3.0,0.0,16936.0,-728.0,-1752.0,
2026-04-05 16:45:37.844156,25.94,51.0,3.0,0.0,16944.0,-620.0,-1928.0,
2026-04-05 16:45:37.856904,25.94,52.0,4.0,0.0,16944.0,-736.0,-1864.0,
2026-04-05 16:45:37.869654,25.94,46.0,4.0,0.0,17092.0,-792.0,-1964.0,
2026-04-05 16:45:37.882449,25.94,48.0,4.0,0.0,17068.0,-728.0,-1956.0,
2026-04-05 16:45:37.895197,25.94,44.0,4.0,0.0,17076.0,-700.0,-1844.0,
2026-04-05 16:45:37.907975,26.0,53.0,5.0,0.0,17096.0,-684.0,-1864.0,
2026-04-05 16:45:37.920707,25.94,46.0,4.0,0.0,16968.0,-732.0,-1864.0,
2026-04-05 16:45:37.933740,25.94,45.0,4.0,0.0,17104.0,-732.0,-1800.0,
2026-04-05 16:45:38.159526,25.94,43.0,4.0,0.0,17132.0,-772.0,-1864.0,
2026-04-05 16:45:39.195212,25.94,43.0,4.0,0.0,17056.0,-724.0,-1852.0,89
2026-04-05 16:45:40.230581,25.94,58.0,4.0,0.0,17032.0,-628.0,-2052.0,90
2026-04-05 16:45:41.267183,25.94,52.0,4.0,0.0,17192.0,-632.0,-1916.0,90
2026-04-05 16:45:42.302578,25.94,44.0,4.0,0.0,16936.0,-704.0,-1704.0,90
2026-04-05 16:45:43.339161,25.94,41.0,4.0,0.0,17032.0,-692.0,-1828.0,90
2026-04-05 16:45:44.374555,26.0,46.0,4.0,0.0,17056.0,-660.0,-1768.0,90
2026-04-05 16:45:45.409574,26.0,49.0,4.0,0.0,16992.0,-620.0,-1776.0,90
2026-04-05 16:45:46.446187,25.94,42.0,3.0,0.0,17000.0,-668.0,-1724.0,90
2026-04-05 16:45:47.481540,25.94,53.0,4.0,0.0,16788.0,-648.0,-2064.0,88
2026-04-05 16:45:48.516904,26.0,43.0,4.0,0.0,16424.0,-684.0,-1916.0,86
2026-04-05 16:45:49.553531,25.94,73.0,7.0,0.0,16952.0,-704.0,-1964.0,83
2026-04-05 16:45:50.589265,26.0,51.0,7.0,0.0,17052.0,-712.0,-1876.0,82
2026-04-05 16:45:51.624574,25.94,46.0,6.0,0.0,17100.0,-736.0,-1664.0,82
2026-04-05 16:45:52.662513,25.94,90.0,11.0,0.0,16736.0,-712.0,-1992.0,82
2026-04-05 16:45:53.699047,25.94,58.0,12.0,0.0,17040.0,-688.0,-2052.0,84
2026-04-05 16:45:54.735751,25.94,43.0,12.0,0.0,16656.0,-700.0,-1736.0,89
2026-04-05 16:45:55.772301,25.94,48.0,11.0,0.0,17032.0,-668.0,-1892.0,91
2026-04-05 16:45:56.808897,25.94,43.0,11.0,0.0,17032.0,-736.0,-1956.0,92
2026-04-05 16:45:57.846827,25.94,64.0,12.0,0.0,17096.0,-684.0,-1936.0,92
2026-04-05 16:45:58.883462,25.94,52.0,13.0,0.0,17048.0,-748.0,-1804.0,93
2026-04-05 16:45:59.920082,25.94,42.0,10.0,0.0,17032.0,-740.0,-1868.0,93
2026-04-05 16:46:00.956696,25.94,43.0,10.0,0.0,17032.0,-764.0,-1844.0,92
2026-04-05 16:46:01.991976,25.94,42.0,9.0,0.0,17092.0,-636.0,-1892.0,92
2026-04-05 16:46:03.028600,25.94,62.0,7.0,0.0,17104.0,-744.0,-1912.0,90
2026-04-05 16:46:04.063956,25.94,46.0,5.0,0.0,16992.0,-676.0,-1724.0,88
2026-04-05 16:46:05.100575,25.94,44.0,6.0,0.0,17084.0,-756.0,-1952.0,88
2026-04-05 16:46:06.135957,25.94,46.0,5.0,0.0,16920.0,-748.0,-1836.0,88
2026-04-05 16:46:07.171330,25.94,49.0,6.0,0.0,17028.0,-704.0,-1896.0,88
2026-04-05 16:52:30.643003,25.94,45.0,3.0,0.0,17080.0,-708.0,-1864.0,
2026-04-05 16:52:31.678620,25.87,49.0,3.0,0.0,17088.0,-648.0,-1764.0,83
2026-04-05 16:52:32.713993,25.94,48.0,3.0,0.0,16968.0,-656.0,-1948.0,84
2026-04-05 16:52:33.750659,25.94,46.0,3.0,0.0,16992.0,-632.0,-1976.0,84
2026-04-05 16:52:34.785946,25.94,44.0,3.0,0.0,17060.0,-740.0,-2040.0,85
2026-04-05 16:52:35.821458,25.94,42.0,2.0,0.0,17068.0,-708.0,-1832.0,85
2026-04-05 16:52:36.857915,25.87,51.0,3.0,0.0,17160.0,-764.0,-1908.0,85
2026-04-05 16:52:37.893416,25.94,46.0,3.0,0.0,16904.0,-732.0,-1908.0,86
2026-04-05 16:52:38.929991,25.94,48.0,3.0,0.0,17044.0,-760.0,-2016.0,86
2026-04-05 16:52:39.965424,25.94,48.0,3.0,0.0,17044.0,-668.0,-2004.0,86
2026-04-05 16:52:41.000746,25.94,57.0,5.0,0.0,17152.0,-676.0,-1912.0,85
2026-04-05 16:52:42.037471,25.94,43.0,4.0,0.0,16908.0,-756.0,-2060.0,86
2026-04-05 16:52:43.072714,25.94,47.0,4.0,0.0,17156.0,-752.0,-1836.0,86
2026-04-05 16:52:44.109371,25.94,48.0,4.0,0.0,17028.0,-784.0,-2012.0,85
2026-04-05 16:52:45.144677,25.94,43.0,4.0,0.0,17032.0,-728.0,-1952.0,85
2026-04-05 16:52:46.180043,25.94,51.0,5.0,0.0,17112.0,-696.0,-2012.0,84
2026-04-05 16:52:47.215418,25.94,51.0,5.0,0.0,16988.0,-712.0,-2068.0,84
2026-04-05 16:52:48.252030,25.94,44.0,5.0,0.0,17004.0,-760.0,-1836.0,84
2026-04-05 16:52:49.287397,25.94,44.0,4.0,0.0,16944.0,-736.0,-1848.0,85
2026-04-05 16:52:50.324011,25.94,45.0,4.0,0.0,17124.0,-656.0,-1876.0,86
2026-04-05 16:52:51.359426,25.94,43.0,2.0,0.0,17016.0,-644.0,-1768.0,86
2026-04-05 16:52:52.394753,25.94,53.0,3.0,0.0,17160.0,-732.0,-1928.0,86
